student_id,Formative,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Summative,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Section 23,Classes ,2D Arrays,,,,,,,,,,,,Classes ,2D Arrays,,,,,,,,,,,,
,StepTracker ,Llightboard ,,,,,,,,,,,,Sign,Candy,,,,,,,,,,,,
,,Constructor (a),Method (b),,Overall,,,,,,,,,,moveCandyToFirstRow (a),removeNextByFlavour (b),,Overall,,,Curved,,,,,,
Semester 1,9,4,5,9.0,18,100.0,,Distribution,,,,,,9,4,5,9.0,18,100.0,,100,,Distribution,,,,
,,,,,,,,Score,Semester 1,Semester 2,Overall,,,,,,,,,,,,Score,Semester 1,Semester 2,Overall,Overall (curved)
sec23_5,4,3,4,7.0,11,61.0,4.0,1,7,0,,,,6,3,2,5.0,11,61.0,4.0,71,5.0,1,5,1,6,2
sec23_6,2,0,0,0.0,2,11.0,1.0,2,0,4,,,,4,1,0,1.0,5,28.0,1.0,38,2.0,2,1,1,2,4
sec23_7,5,0,0,0.0,5,28.0,1.0,3,0,0,,,,8,3,3,6.0,14,78.0,6.0,88,7.0,3,0,1,1,2
sec23_8,3,0,0,0.0,3,17.0,1.0,4,3,1,,,,5,1,0,1.0,6,33.0,1.0,43,2.0,4,2,1,3,1
sec23_9,0,0,0,0.0,0,0.0,1.0,5,0,0,,,,8,1,1,2.0,10,56.0,4.0,66,5.0,5,0,1,1,3
sec23_10,3,0,0,0.0,3,17.0,1.0,6,0,1,,,,3,1,0,1.0,4,22.0,1.0,32,1.0,6,2,1,3,1
sec23_11,1,1,0,1.0,2,11.0,1.0,7,0,3,,,,3,0,0,0.0,3,17.0,1.0,27,1.0,7,1,3,4,7
sec23_12,0,0,0,0.0,0,0.0,1.0,,,,,,,5,0,0,0.0,5,28.0,1.0,38,2.0,,,,,20
sec23_13,7,3,1,4.0,11,61.0,4.0,,,,,,,7,0,0,0.0,7,39.0,2.0,49,3.0,,,,,
sec23_14,,,,,,,,,,,,,,8,3,3,6.0,14,78.0,6.0,88,7.0,,,,,
sec23_15,7,3,1,4.0,11,61.0,4.0,,,,,,,9,4,4,8.0,17,94.0,7.0,100,7.0,,,,,
,,,,,Average,27.0,1.0,,,,,,,6,1.5,1.2,2.7,8.7,48.5,3.1,58.2,3.8,,,,,
Semester 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
sec23_19,8,3,4,7.0,15,83.0,6.0,,,,,,,8,3,4,7.0,15,83.0,6.0,93,7.0,,,,,
sec23_20,9,4,5,9.0,18,100.0,7.0,,,,,,,9,4,4,8.0,17,94.0,7.0,100,7.0,,,,,
sec23_21,8,3,5,8.0,16,89.0,7.0,,,,,,,9,3,5,8.0,17,94.0,7.0,100,7.0,,,,,
sec23_22,9,4,5,9.0,18,100.0,7.0,,,,,,,8,4,4,8.0,16,89.0,7.0,99,7.0,,,,,
sec23_23,4,3,0,3.0,7,39.0,2.0,,,,,,,6,0,1,1.0,7,39.0,2.0,49,3.0,,,,,
sec23_24,7,0,0,0.0,7,39.0,2.0,,,,,,,7,3,3,6.0,13,72.0,5.0,82,6.0,,,,,
sec23_25,3,4,4,8.0,11,61.0,4.0,,,,,,,3,1,1,2.0,5,28.0,1.0,38,2.0,,,,,
sec23_26,3,3,1,4.0,7,39.0,2.0,,,,,,,5,3,1,4.0,9,50.0,3.0,60,4.0,,,,,
sec23_27,3,2,2,4.0,7,39.0,2.0,,,,,,,7,3,1,4.0,11,61.0,4.0,71,5.0,,,,,
,,,,,Average,65.0,5.0,,,,,,,6.9,2.7,2.7,5.3,12.2,67.8,4.7,76.9,5.3,,,,,
